ID,Thema,Typ,Titel
1,Deskriptive Statistik,Tutorial,[Teacup Giraffes](https://tinystats.github.io/teacups-giraffes-and-statistics/index.html)
2,Generell,Buch,[R for Data Science](https://r4ds.had.co.nz/)
3,Generell,Tutorial,[RStudio Cloud Primers](https://rstudio.cloud/learn/primers)
4,Generell,Buch,[Tidyverse Skills for Data Science](https://jhudatascience.org/tidyversecourse/)
5,Geodaten und GIS in R,Buch,[Geocomputation with R](https://geocompr.robinlovelace.net/)
6,Kollaboration und Versionsverwaltung,Buch,[Happy Git and GitHub for the useR](https://happygitwithr.com/)
7,Kommunikation mit R Markdown,Buch,[RMarkdown - The Definitive Guide](https://bookdown.org/yihui/rmarkdown/)
8,Kommunikation mit R Markdown,Buch mit Anleitungen,[R Markdown Cookbook](https://bookdown.org/yihui/rmarkdown-cookbook/)
9,Kommunikation mit R Markdown,R Package,[Folien mit {xaringan}](https://slides.yihui.org/xaringan/#1)
10,Kommunikation mit R Markdown,R Package,[Dashboards mit {flexdashboard}](https://rmarkdown.rstudio.com/flexdashboard/)
11,Kommunikation mit R Markdown,R Package,[Berichte als Webseite oder Blog mit {distill}](https://rstudio.github.io/distill/)
12,"Modellierung, Inferentielle Statistik, Machine Learning",Buch,[ModernDive - Statistical Inference via Data Science](https://moderndive.com/)
13,"Modellierung, Inferentielle Statistik, Machine Learning",Buch,[OpenIntro - Introduction to Modern Statistics](https://openintro-ims.netlify.app/index.html)
14,"Modellierung, Inferentielle Statistik, Machine Learning",Artikel,[TidyModels - A collection of packages for modeling and machine learning](https://www.tidymodels.org/start)
15,Programmieren,Buch,[Hands-on Programming with R](https://rstudio-education.github.io/hopr/)
