"Jahr","Strom","Kerosin","Diesel","Benzin","Holz_UW_BG_SK","Fernwaerme","Erdgas","Heizoel_EL"
1990,0.324,0.638,0.418,1.087,0.021,0.228,1.015,2.445
1991,0.292,0.614,0.415,1.081,0.020,0.227,1.037,2.338
1992,0.263,0.637,0.418,1.083,0.020,0.229,1.071,2.258
1993,0.243,0.651,0.419,1.093,0.020,0.232,1.108,2.185
1994,0.229,0.661,0.416,1.099,0.020,0.234,1.143,2.109
1995,0.242,0.689,0.415,1.102,0.020,0.237,1.178,2.033
1996,0.256,0.706,0.415,1.112,0.021,0.240,1.217,1.963
1997,0.397,0.730,0.417,1.118,0.021,0.243,1.256,1.892
1998,0.539,0.759,0.418,1.115,0.021,0.245,1.290,1.813
1999,0.667,0.803,0.422,1.107,0.020,0.246,1.319,1.728
2000,0.790,0.833,0.432,1.095,0.021,0.248,1.353,1.650
2001,1.091,0.782,0.445,1.080,0.019,0.250,1.450,1.189
2002,1.381,0.719,0.453,1.057,0.019,0.251,1.374,1.498
2003,1.169,0.642,0.470,1.032,0.018,0.286,1.490,1.317
2004,0.954,0.601,0.486,1.003,0.019,0.298,1.508,1.305
2005,0.170,0.605,0.503,0.970,0.020,0.300,1.602,1.281
2006,0.176,0.629,0.504,0.889,0.019,0.255,1.450,1.425
2007,0.176,0.665,0.508,0.809,0.017,0.218,1.347,1.210
2008,0.180,0.701,0.507,0.738,0.018,0.243,1.409,1.155
2009,0.183,0.666,0.516,0.683,0.020,0.227,1.261,1.246
2010,0.179,0.671,0.519,0.639,0.024,0.250,1.321,1.255
2011,0.180,0.708,0.508,0.621,0.020,0.145,1.323,1.205
2012,0.185,0.717,0.565,0.596,0.028,0.181,1.342,1.252
2013,0.195,0.720,0.590,0.573,0.036,0.222,1.301,1.170
2014,0.346,0.716,0.597,0.545,0.035,0.142,1.166,0.922
2015,0.398,0.732,0.607,0.491,0.038,0.181,1.156,0.867
2016,0.460,0.750,0.651,0.479,0.059,0.197,1.253,0.896

